scatter,diam_740_mid,diam_740_upr,diam_740_lwr,Qc_740_mid,Qc_740_upr,Qc_740_lwr,diam_751_mid,diam_751_upr,diam_751_lwr,Qc_751_mid,Qc_751_upr,Qc_751_lwr,diam_989_mid,diam_989_upr,diam_989_lwr,Qc_989_mid,Qc_989_upr,Qc_989_lwr
0.0019434651990994,0.400701747510771,0.50038149390214,0.332926151158063,0.0141338663489265,0.0250714078597146,0.00876273753445086,0.297389645008091,0.369275708572692,0.247920676450895,0.00654878160118874,0.0114484244845815,0.00409550726724993,0.322675436294538,0.40115613247155,0.268807117881363,0.00808348190420084,0.0141752567830056,0.00504591148665099
0.00194930231620036,0.400969454758665,0.500725908721436,0.333146133681873,0.0141582524335583,0.0251158559116147,0.00877766117251655,0.297631379096989,0.369580869936438,0.248120500296648,0.00656254411937528,0.0114728352447762,0.00410404251201755,0.322925541612189,0.401472880309802,0.269013522225304,0.00809965515658345,0.0142041094101117,0.00505591168575099
0.00195515696484039,0.401237966054172,0.501068055363143,0.333366623299113,0.0141827117607836,0.0251602172235758,0.00879262390556262,0.29787336514503,0.36988510209421,0.248320924305032,0.00657633712538013,0.0114972626287278,0.00411260339203875,0.323176398110786,0.401789712321674,0.269220546496129,0.00811587698465865,0.0142330154461086,0.00506594192003412
0.00196102919767472,0.401507283812216,0.501410274899352,0.333585002157575,0.0142072445505835,0.0252046481059272,0.00880752818736629,0.298116077988127,0.370190248000647,0.24852195027861,0.0065901715581063,0.0115217633793137,0.00412118998430794,0.323427658866604,0.402105083900076,0.269427729647548,0.00813213756542466,0.0142619158185262,0.00507599212670533
0.00196691906751676,0.401776580446609,0.501753522277741,0.333804036907879,0.014231810457208,0.0252492124345905,0.00882247723356206,0.29835951980918,0.370496310400155,0.248723580025361,0.00660404754197725,0.0115463377168876,0.0041298023660508,0.323677329333621,0.402421402683932,0.269633733920496,0.00814838003739661,0.0142909029920134,0.00508603301410347
0.00197282662733853,0.402044038812034,0.502097800585392,0.334023729519968,0.0142563207708295,0.0252939106103662,0.00883747117859792,0.298603353159121,0.370803292045383,0.248923905386197,0.00661795738809202,0.011570985862465,0.00413840688364939,0.323927749675528,0.402738671518131,0.269840356918732,0.00816467129295931,0.0143199772272737,0.00509610405889037
0.00197875193027115,0.402312300477563,0.502443112918657,0.334244081969704,0.0142809047001612,0.0253387430352586,0.00885251015732567,0.29884580943853,0.37110888730014,0.249124687419459,0.00663186048283665,0.0115956367835695,0.00414703468384874,0.324178922144543,0.403056893256113,0.270047600500572,0.00818101147863225,0.0143491387857935,0.00510620535164249
0.00198469502960532,0.402581367855875,0.502788516580573,0.334465096238882,0.0143055624663048,0.0253836467096407,0.00886759430500213,0.299088993925316,0.371414721508686,0.249326072493229,0.00664580533494957,0.0116203407871765,0.00415568839728806,0.324430848999649,0.403374636660478,0.270255466529911,0.00819740074137499,0.01437833266761,0.00511633698320834
0.00199065597879179,0.402851243366897,0.503131631060392,0.334685985107759,0.0143302942910261,0.025428462249165,0.00888269416654464,0.299332908806619,0.371721474277591,0.249528062418713,0.00665979206984731,0.0116451189882334,0.00416436810179669,0.324682938506342,0.403691477496414,0.270463383459459,0.00821382217794711,0.0144075426775095,0.00512648639591984
0.00199663483144185,0.403121929437819,0.503475776070318,0.334905388627794,0.0143551003967569,0.0254734123903031,0.00889775881301521,0.29957755627615,0.372029148365711,0.249730185599708,0.00667382081332307,0.0116699716095892,0.00417306546671404,0.324933675417206,0.404009269950656,0.270670224901606,0.00823023237612953,0.014436840418462,0.00513662879324081
0.00200263164132781,0.403391513200291,0.503820954705504,0.335125451117198,0.0143798868845147,0.0255184975373253,0.00891286870552651,0.299821786500996,0.372337246604688,0.2499313277245,0.00668786504348593,0.0116948833668766,0.00418176074565216,0.325185165405979,0.404328016881351,0.270877687583443,0.00824669186166142,0.0144662261539641,0.00514680165283139
0.00200864646238349,0.403660333024086,0.504167170070401,0.33534617455516,0.0144046704862897,0.0255637180957163,0.00892802397997313,0.300065444996128,0.372643771325972,0.25013307397132,0.00670192126239273,0.0117197924309667,0.00419048214049986,0.325437410734501,0.404647721155229,0.271085773370839,0.00826320078257527,0.0144957001483037,0.00515700506618372
0.00201467934870468,0.403929960237069,0.504514425278784,0.335567560926812,0.0144295285245845,0.0256090744721784,0.00894322477265783,0.300309835309441,0.372951216681541,0.250335426154622,0.00671601969856989,0.0117447763083974,0.00419922972969517,0.325690413671403,0.404966381063379,0.271294484135264,0.00827975928734822,0.0145251850335818,0.00516723912506477
0.00202073035454967,0.404200397264201,0.50485982169737,0.335789612223247,0.0144544612229661,0.0256543715317821,0.00895847122029276,0.300554959638922,0.373259585436481,0.250538386094312,0.00673016047881524,0.0117698352238676,0.00420800359191174,0.325943336203126,0.405284699923137,0.271503133305648,0.00829634327366314,0.0145547082018647,0.00517748864848487
0.00202679953433968,0.404471646537725,0.50520487173861,0.336010919116156,0.0144794688056729,0.0256997113906654,0.00897371024681298,0.300800820189158,0.373568880364183,0.250740857908676,0.00674434373030743,0.0117949694027508,0.00421678419678351,0.326195145469397,0.405603974840385,0.271710816070713,0.00831292301606086,0.0145843200417586,0.00518773361400701
0.00203288694265942,0.40474371049719,0.505550958123335,0.336231353947221,0.0145045514976169,0.025745187425934,0.00898893710094712,0.301045433703176,0.373877426228511,0.250942967021169,0.00675852340388181,0.0118201267633057,0.00422557383129724,0.326447711034353,0.405924208686602,0.271919122602346,0.00832955255502706,0.0146140208195853,0.00519800934985809
0.00203899263425751,0.405013570526256,0.505898083964159,0.336452450845156,0.0145295602511908,0.0257908000465879,0.00900420968830596,0.301290301436888,0.374185567843047,0.251145683159997,0.00677273449113266,0.0118453181939447,0.00423438986511361,0.326701035169506,0.406245404341891,0.272128054774006,0.00834623204012367,0.0146438108024661,0.00520831594845551
0.00204511666404702,0.405283762883116,0.506246252383045,0.336674211798452,0.0145546204899779,0.0258365496628558,0.00901952814624735,0.301535904620679,0.374494634948139,0.251349008148338,0.00678698826079452,0.0118705852860006,0.00424323237752181,0.32695512015319,0.40656497965797,0.272337614464776,0.00836296162136182,0.0146735896443221,0.00521865350249425
