scatter_751,diam_751,volume_751,scatter_740,diam_740,volume_740
7.35392e-06,0.16,0.00214466058485063,5.10688888888889e-06,0.16,0.00214466058485063
0.00036331936,0.32,0.0171572846788051,0.000252305111111111,0.32,0.0171572846788051
0.00296414608,0.48,0.0579058357909671,0.00205843477777778,0.48,0.0579058357909671
0.01159240672,0.64,0.137258277430441,0.00805028244444444,0.64,0.137258277430441
0.02963125544,0.8,0.268082573106329,0.0205772607222222,0.8,0.268082573106329
0.05797766928,0.96,0.463246686327736,0.0402622703333333,0.96,0.463246686327736
0.0935474736,1.12,0.735618580603767,0.0649635233333333,1.12,0.735618580603767
0.12807932424,1.28,1.09806621944352,0.0889439751666667,1.28,1.09806621944352
0.15251467176,1.44,1.56345756635611,0.1059129665,1.44,1.56345756635611
0.161335934,1.6,2.14466058485063,0.112038843055556,1.6,2.14466058485063
0.15748658616,1.76,2.85454323843619,0.109365684833333,1.76,2.85454323843619
0.1547846052,1.92,3.70597349062189,0.107489309166667,1.92,3.70597349062189
0.17419910008,2.08,4.71181930491684,0.120971597277778,2.08,4.71181930491684
0.24040394712,2.24,5.88494864483013,0.1669471855,2.24,5.88494864483013
0.36919703504,2.4,7.23822947387089,0.256386829888889,2.4,7.23822947387089
0.5601837388,2.56,8.78452975554819,0.389016485277778,2.56,8.78452975554819
0.79391950896,2.72,10.5367174533712,0.551332992333333,2.72,10.5367174533712
1.03144217768,2.88,12.5076605308489,0.716279290055556,2.88,12.5076605308489
1.23123105984,3.04,14.7102269514905,0.855021569333333,3.04,14.7102269514905
1.356999324,3.2,17.1572846788051,0.942360641666667,3.2,17.1572846788051
1.39333113368,3.36,19.8617016763017,0.967591065055555,3.36,19.8617016763017
1.3594690008,3.52,22.8363459074895,0.944075695,3.52,22.8363459074895
1.29761514984,3.68,26.0940853358776,0.901121631833333,3.68,26.0940853358776
1.26923108712,3.84,29.6477879249751,0.881410477166667,3.84,29.6477879249751
1.3323825424,4,33.5103216382911,0.925265654444445,4,33.5103216382911
1.52019906664,4.16,37.6945544393347,1.05569379627778,4.16,37.6945544393347
1.83062529496,4.32,42.213354291615,1.27126756594444,4.32,42.213354291615
2.21390893472,4.48,47.0795891586411,1.53743676022222,4.48,47.0795891586411
2.59900345544,4.64,52.3061270039221,1.80486351072222,4.64,52.3061270039221
2.90763482368,4.8,57.9058357909671,2.01919084977778,4.8,57.9058357909671
3.0772898284,4.96,63.8915834832852,2.13700682527778,4.96,63.8915834832852
3.09819576608,5.12,70.2762380443856,2.15152483755556,5.12,70.2762380443856
3.0046580268,5.28,77.0726674377772,2.08656807416667,5.28,77.0726674377772
2.8778248584,5.44,84.2937396269693,1.998489485,5.44,84.2937396269693
2.82199701408,5.6,91.9523225754709,1.95972014866667,5.6,91.9523225754709
2.92541257064,5.76,100.061284246791,2.03153650738889,5.76,100.061284246791
3.24014724448,5.92,108.633492604439,2.25010225311111,5.92,108.633492604439
3.74668062648,6.08,117.681815611924,2.60186154616667,6.08,117.681815611924
4.36961389888,6.24,127.219121232755,3.03445409644444,6.24,127.219121232755
4.9932980924,6.4,137.25827743044,3.46756811972222,6.4,137.25827743044
5.48735323664,6.56,147.81215216849,3.81066196988889,6.56,147.81215216849
5.76811527744,6.72,158.893613410414,4.00563560933333,6.72,158.893613410414
5.80323182408,6.88,170.515529119719,4.03002210005556,6.88,170.515529119719
5.63212908544,7.04,182.690767259916,3.91120075377778,7.04,182.690767259916
5.36282994016,7.2,195.432195794514,3.72418745844444,7.2,195.432195794514
5.12316393704,7.36,208.752682687021,3.55775273405556,7.36,208.752682687021
5.03795682016,7.52,222.665095900947,3.49858112511111,7.52,222.665095900947
5.17564539064,7.68,237.182303399801,3.59419818794444,7.68,237.182303399801
5.5330607668,7.84,252.317173147092,3.84240331027778,7.84,252.317173147092
6.03837438664,8,268.082573106329,4.19331554627778,8,268.082573106329
6.56007240048,8.16,284.491371241021,4.55560583366667,8.16,284.491371241021
6.97520163552,8.32,301.556435514678,4.84389002466667,8.32,301.556435514678
7.18752189536,8.48,319.290633890808,4.99133464955556,8.48,319.290633890808
7.16067337208,8.64,337.70683433292,4.97268984172222,8.64,337.70683433292
6.94715447128,8.8,356.817904804524,4.82441282727778,8.8,356.817904804524
6.64809166952,8.96,376.636713269128,4.61673032605556,8.96,376.636713269128
6.39886762416,9.12,397.176127690243,4.44365807233333,9.12,397.176127690243
6.32088467176,9.28,418.449016031376,4.38950324427778,9.28,418.449016031376
6.47994039688,9.44,440.468246256038,4.49995860894444,9.44,440.468246256038
6.87222244376,9.6,463.246686327737,4.77237669705556,9.6,463.246686327737
7.41125997912,9.76,486.797204209981,5.14670831883333,9.76,486.797204209981
7.97735851304,9.92,511.132667866282,5.53983230072222,9.92,511.132667866282
8.43879342048,10.08,536.265945260146,5.86027320866667,10.08,536.265945260146
8.68834420528,10.24,562.209904355084,6.03357236477778,10.24,562.209904355084
8.6966005768,10.4,588.977413114605,6.03930595611111,10.4,588.977413114605
8.49093860488,10.56,616.581339502217,5.89648514227778,10.56,616.581339502217
8.15580657168,10.72,645.034551481431,5.66375456366667,10.72,645.034551481431
7.81005147712,10.88,674.349917015754,5.42364685911111,10.88,674.349917015754
7.55728586344,11.04,704.540304068697,5.24811518294444,11.04,704.540304068697
7.46400966552,11.2,735.618580603767,5.1833400455,11.2,735.618580603767
7.5352393744,11.36,767.597614584474,5.23280512111111,11.36,767.597614584474
7.73022787256,11.52,800.490273974329,5.36821380038889,11.52,800.490273974329
