scatter,diam_mid,diam_upr,diam_lwr,Qc_mid,Qc_upr,Qc_lwr
7.78066871830256,6.30516186635449,20.5898025547626,3.35217841526013,26.6201410959765,926.991374923991,4.00038616817613
7.79811708366416,6.30845390557029,20.6175968005588,3.35756778773267,26.6618054652393,930.756434715364,4.01971532057385
7.81560457746892,6.31175332727532,20.645453375722,3.36298791537019,26.7035632680055,934.529937757723,4.03921516370097
7.83313128746349,6.31504645071596,20.6706571575875,3.36846547755604,26.7453682153196,937.957881702455,4.05897824829016
7.85069730159122,6.31832959702209,20.6942653540734,3.37402097900235,26.7872079721302,941.178108118808,4.07910394540359
7.86830270799277,6.32162010587485,20.7179264925946,3.37960888691095,26.8291415557557,944.405555982201,4.09939007448071
7.88594759500636,6.32491799378495,20.7398813519165,3.38525524380849,26.8711691766052,947.412426522353,4.11998710044507
7.90363205116839,6.32822327730015,20.7607926569305,3.39092997113849,26.91329104556,950.284536067356,4.14072122554344
7.92135616521375,6.33153597300529,20.7817508561259,3.39666947001178,26.9555073739739,953.163086397656,4.16180305541737
7.93912002607636,6.33485609752241,20.8023100231729,3.40244975097004,26.997818373675,955.98998923161,4.18306396176935
7.95692372288956,6.33813193416122,20.8208623654371,3.40835845916754,27.0397976630148,958.555804647017,4.20491778628804
7.97476734498655,6.3414026765411,20.8394563118432,3.41429493114072,27.0817685082454,961.127373974641,4.22690496233691
7.99265098190092,6.34468075365147,20.8580919556899,3.42030314418416,27.1238334742603,963.704710117796,4.24928099961646
8.01057472336697,6.34796618194066,20.8761283470974,3.4263425672951,27.1659927721279,966.204079255606,4.27181041870918
8.02853865932031,6.35125897789389,20.8927677421731,3.43245288457394,27.2082466133901,968.521263792239,4.29472406543424
8.04654287989815,6.35455915803336,20.9094444515537,3.43861666933262,27.2505952100631,970.843644679449,4.31788795194745
8.06458747543992,6.35786109267937,20.9261585589175,3.44488445959406,27.293007319977,973.171233570201,4.34155476892126
8.08267253648756,6.36113598867481,20.9429101481305,3.45124340485729,27.3353226596975,975.504042143583,4.36563519608073
8.10079815378612,6.36441822871534,20.9582890778055,3.45772848623273,27.3777328927408,977.660487856117,4.39029278594217
8.11896441828408,6.36770782927018,20.9736948903158,3.46425952279582,27.4202382319077,979.820790185178,4.41522194036794
8.13717142113396,6.37100480684548,20.9891352507878,3.47083012273338,27.4628388904764,981.985937052119,4.44037855197233
8.15541925369261,6.37430917798443,21.0046102366963,3.47750031129881,27.5055350822032,984.155939320951,4.46604657030981
8.17370800752178,6.37762095926728,21.0196929574989,3.48421671514998,27.548327021324,986.274520941681,4.49193975316882
8.19203777438858,6.38092192290533,21.0336264774237,3.49103320100058,27.5911155963036,988.241896218275,4.51839018145699
8.21040864626586,6.38420916775053,21.0475912436533,3.49789808721207,27.6338851372291,990.213683388481,4.54507355608015
8.22882071533276,6.38750378433346,21.0615873262584,3.50490123015358,27.6767505900361,992.189892346096,4.57244679127689
8.24727407397511,6.39080578918543,21.0756147954668,3.51199136927175,27.7197121698098,994.170533007098,4.60024947624959
8.26576881478594,6.39411519887486,21.0895616850506,3.5191817003077,27.7627700921174,996.141317441664,4.62854969401014
8.2843050305659,6.39743203000728,21.102708943295,3.52649073821292,27.8059245730098,998.010482797394,4.65747014803624
8.30288281432377,6.40075629922549,21.1158856846305,3.53385541658259,27.8491758290223,999.883839808269,4.68667889717396
8.32150225927687,6.40405799487771,21.1290919751739,3.54129910179904,27.8923645000725,1001.76139787419,4.71638446512227
8.34016345885163,6.40735844630718,21.14232788119,3.54885490984759,27.9356040636082,1003.64316641614,4.74663585887038
8.3588665066839,6.4106662990905,21.1555934690925,3.55653827475854,27.9789405930641,1005.52915487622,4.7775105430546
8.37761149661957,6.41398156982541,21.1684256661808,3.56430332487524,28.0223743058891,1007.36088679103,4.80890037482251
8.39639852271499,6.41730427514689,21.1809685191692,3.57215781516106,28.0659054200196,1009.15655365757,4.84074513710969
8.41522767923739,6.42063443172718,21.1935394998532,3.58018749963867,28.1095341538805,1010.95624735685,4.87346092961814
8.43409906066544,6.42396775741832,21.2061386713101,3.58829454281546,28.1532287369816,1012.75997691917,4.90666158050915
8.45301276168964,6.4272600094257,21.2187660967583,3.59647646799836,28.1966600369454,1014.56775139504,4.9402796955161
8.47196887721289,6.4305596443995,21.2314218395582,3.60480775814273,28.2401887328037,1016.3795798553,4.97469677625663
8.49096750235084,6.43386667889622,21.2434146477308,3.61330150510565,28.2838150429696,1018.10486921478,5.00996243521115
8.51000873243251,6.43718112950952,21.2551620906171,3.6219046489611,28.3275391863458,1019.79834589679,5.04581518586448
8.52909266300065,6.44050301287022,21.2669358774698,3.63062675854379,28.3713613823259,1021.49562024722,5.08234780896858
8.54821938981231,6.44383234564648,21.2787360673661,3.63954411375898,28.4152818507958,1023.19670078245,5.11991443585577
8.56738900883924,6.44715503023362,21.2905627195154,3.6486005912542,28.4592293101454,1024.90159603794,5.15822474740398
8.58660161626839,6.45046211983248,21.3024158932601,3.65780245632417,28.5031585726458,1026.61031456833,5.1973181760424
8.6058573085025,6.45377662567147,21.3140228627329,3.66724062317511,28.5471863477356,1028.28955149566,5.2376785573798
8.62515618216039,6.45709856438171,21.3254133637344,3.67677523577442,28.5913128563318,1029.94293956805,5.27865258556238
8.64449833407765,6.46042795263164,21.3368294082502,3.68644649465997,28.6355383198473,1031.60003540904,5.32040861340062
8.66388386130692,6.46376480712704,21.3482710535625,3.6962983342783,28.6798629601911,1033.26084733341,5.36315113970537
8.68331286111859,6.46710914461117,21.3597383570817,3.70640159597218,28.72428699977,1034.92538367457,5.40726013417798
8.70278543100109,6.47043878282288,21.3712313763469,3.71667622012683,28.7687220100783,1036.59365278464,5.45237362247759
8.72230166866156,6.47376515345575,21.3827140953248,3.7271259218631,28.8132137995874,1038.26114671173,5.49849779504371
8.74186167202615,6.477098983567,21.3937035679037,3.7377850887261,28.8578053631681,1039.86740315874,5.54580060893867
8.76146553924072,6.48044028988473,21.4047176846796,3.7486548087221,28.9024969245668,1041.47726168037,5.59430490037379
8.78111336867113,6.48378908917453,21.4157565009177,3.75959124211703,28.9472887080312,1043.09073035438,5.64339043085098
8.80080525890386,6.4871453982396,21.4268200720074,3.77084128947384,28.9921809383121,1044.70781727663,5.69422609426489
8.82054130874653,6.49050923392082,21.4379084534621,3.78231433449611,29.0371738406643,1046.32853056115,5.74637451097095
